team,tier,avg_overall,avg_age,age_profile,attack_index,defence_index,style,depth,star_player,star_overall,star_power,narrative
Czechia,Solid outfit,78.0,27.5,balanced age,73.5,73.2,well-balanced,moderate depth,T. Souček,82.0,modest,"Czechia: solid outfit (avg top-16 rating 78.0). The squad is balanced age (mean age 27.5) and well-balanced in skill balance, with moderate depth. Talisman: T. Souček (82 ovr), giving modest star power."
Ivory Coast,Solid outfit,78.0,27.9,balanced age,71.9,67.4,attack-leaning,moderate depth,F. Kessié,84.0,marquee,"Ivory Coast: solid outfit (avg top-16 rating 78.0). The squad is balanced age (mean age 27.9) and attack-leaning in skill balance, with moderate depth. Talisman: F. Kessié (84 ovr), giving marquee star power."
Algeria,Solid outfit,77.9,27.9,balanced age,72.7,62.1,attack-leaning,moderate depth,R. Mahrez,86.0,marquee,"Algeria: solid outfit (avg top-16 rating 77.9). The squad is balanced age (mean age 27.9) and attack-leaning in skill balance, with moderate depth. Talisman: R. Mahrez (86 ovr), giving marquee star power."
Türkiye,Solid outfit,77.5,26.5,youthful,70.3,71.2,well-balanced,moderate depth,H. Çalhanoğlu,82.0,modest,"Türkiye: solid outfit (avg top-16 rating 77.5). The squad is youthful (mean age 26.5) and well-balanced in skill balance, with moderate depth. Talisman: H. Çalhanoğlu (82 ovr), giving modest star power."
Sweden,Solid outfit,77.5,28.4,balanced age,72.9,62.2,attack-leaning,moderate depth,Z. Ibrahimović,84.0,marquee,"Sweden: solid outfit (avg top-16 rating 77.5). The squad is balanced age (mean age 28.4) and attack-leaning in skill balance, with moderate depth. Talisman: Z. Ibrahimović (84 ovr), giving marquee star power."
Scotland,Solid outfit,76.9,28.7,balanced age,70.3,70.3,well-balanced,moderate depth,A. Robertson,87.0,marquee,"Scotland: solid outfit (avg top-16 rating 76.9). The squad is balanced age (mean age 28.7) and well-balanced in skill balance, with moderate depth. Talisman: A. Robertson (87 ovr), giving marquee star power."
Norway,Solid outfit,76.8,26.1,youthful,73.3,67.3,attack-leaning,moderate depth,E. Haaland,88.0,galactico-level,"Norway: solid outfit (avg top-16 rating 76.8). The squad is youthful (mean age 26.1) and attack-leaning in skill balance, with moderate depth. Talisman: E. Haaland (88 ovr), giving galactico-level star power."
United States,Developing team,75.9,25.6,youthful,71.7,69.7,well-balanced,moderate depth,C. Pulisic,82.0,modest,"United States: developing team (avg top-16 rating 75.9). The squad is youthful (mean age 25.6) and well-balanced in skill balance, with moderate depth. Talisman: C. Pulisic (82 ovr), giving modest star power."
Ghana,Developing team,75.8,27.0,balanced age,69.4,70.8,well-balanced,moderate depth,T. Partey,83.0,modest,"Ghana: developing team (avg top-16 rating 75.8). The squad is balanced age (mean age 27.0) and well-balanced in skill balance, with moderate depth. Talisman: T. Partey (83 ovr), giving modest star power."
Japan,Developing team,75.5,28.2,balanced age,70.3,60.1,attack-leaning,moderate depth,D. Kamada,79.0,modest,"Japan: developing team (avg top-16 rating 75.5). The squad is balanced age (mean age 28.2) and attack-leaning in skill balance, with moderate depth. Talisman: D. Kamada (79 ovr), giving modest star power."
Bosnia-Herzegovina,Developing team,75.4,29.4,veteran-heavy,67.5,66.6,well-balanced,moderate depth,E. Džeko,83.0,modest,"Bosnia-Herzegovina: developing team (avg top-16 rating 75.4). The squad is veteran-heavy (mean age 29.4) and well-balanced in skill balance, with moderate depth. Talisman: E. Džeko (83 ovr), giving modest star power."
Paraguay,Developing team,74.8,29.2,veteran-heavy,69.2,62.5,attack-leaning,deep squad,C. Ortiz,77.0,modest,"Paraguay: developing team (avg top-16 rating 74.8). The squad is veteran-heavy (mean age 29.2) and attack-leaning in skill balance, with deep squad. Talisman: C. Ortiz (77 ovr), giving modest star power."
South Korea,Developing team,74.4,28.1,balanced age,70.0,63.6,attack-leaning,moderate depth,H. Son,89.0,galactico-level,"South Korea: developing team (avg top-16 rating 74.4). The squad is balanced age (mean age 28.1) and attack-leaning in skill balance, with moderate depth. Talisman: H. Son (89 ovr), giving galactico-level star power."
Congo DR,Developing team,74.2,28.1,balanced age,70.6,61.5,attack-leaning,moderate depth,C. Bakambu,80.0,modest,"Congo DR: developing team (avg top-16 rating 74.2). The squad is balanced age (mean age 28.1) and attack-leaning in skill balance, with moderate depth. Talisman: C. Bakambu (80 ovr), giving modest star power."
Ecuador,Developing team,73.9,28.3,balanced age,69.0,60.2,attack-leaning,moderate depth,P. Estupiñán,79.0,modest,"Ecuador: developing team (avg top-16 rating 73.9). The squad is balanced age (mean age 28.3) and attack-leaning in skill balance, with moderate depth. Talisman: P. Estupiñán (79 ovr), giving modest star power."
Canada,Developing team,73.6,27.9,balanced age,68.8,66.8,well-balanced,top-heavy,A. Davies,82.0,modest,"Canada: developing team (avg top-16 rating 73.6). The squad is balanced age (mean age 27.9) and well-balanced in skill balance, with top-heavy. Talisman: A. Davies (82 ovr), giving modest star power."
Australia,Developing team,72.8,29.2,veteran-heavy,67.2,68.8,well-balanced,moderate depth,A. Mooy,77.0,modest,"Australia: developing team (avg top-16 rating 72.8). The squad is veteran-heavy (mean age 29.2) and well-balanced in skill balance, with moderate depth. Talisman: A. Mooy (77 ovr), giving modest star power."
Egypt,Developing team,72.2,25.6,youthful,67.2,58.8,attack-leaning,top-heavy,M. Salah,89.0,galactico-level,"Egypt: developing team (avg top-16 rating 72.2). The squad is youthful (mean age 25.6) and attack-leaning in skill balance, with top-heavy. Talisman: M. Salah (89 ovr), giving galactico-level star power."
Tunisia,Developing team,70.9,27.2,balanced age,68.3,59.5,attack-leaning,top-heavy,E. Skhiri,77.0,modest,"Tunisia: developing team (avg top-16 rating 70.9). The squad is balanced age (mean age 27.2) and attack-leaning in skill balance, with top-heavy. Talisman: E. Skhiri (77 ovr), giving modest star power."
Iran,Developing team,70.9,28.2,balanced age,67.6,63.8,well-balanced,top-heavy,M. Taremi,79.0,modest,"Iran: developing team (avg top-16 rating 70.9). The squad is balanced age (mean age 28.2) and well-balanced in skill balance, with top-heavy. Talisman: M. Taremi (79 ovr), giving modest star power."
Cape Verde,Developing team,70.8,27.9,balanced age,66.6,58.6,attack-leaning,top-heavy,Jovane Cabral,78.0,modest,"Cape Verde: developing team (avg top-16 rating 70.8). The squad is balanced age (mean age 27.9) and attack-leaning in skill balance, with top-heavy. Talisman: Jovane Cabral (78 ovr), giving modest star power."
South Africa,Developing team,70.8,28.4,balanced age,65.4,61.5,well-balanced,deep squad,L. Singh,74.0,modest,"South Africa: developing team (avg top-16 rating 70.8). The squad is balanced age (mean age 28.4) and well-balanced in skill balance, with deep squad. Talisman: L. Singh (74 ovr), giving modest star power."
Saudi Arabia,Developing team,70.8,27.8,balanced age,67.4,63.4,well-balanced,moderate depth,S. Al Dawsari,76.0,modest,"Saudi Arabia: developing team (avg top-16 rating 70.8). The squad is balanced age (mean age 27.8) and well-balanced in skill balance, with moderate depth. Talisman: S. Al Dawsari (76 ovr), giving modest star power."
New Zealand,Developing team,68.8,26.2,youthful,65.0,62.7,well-balanced,top-heavy,C. Wood,79.0,modest,"New Zealand: developing team (avg top-16 rating 68.8). The squad is youthful (mean age 26.2) and well-balanced in skill balance, with top-heavy. Talisman: C. Wood (79 ovr), giving modest star power."
Uzbekistan,Developing team,68.2,27.2,balanced age,62.8,61.2,well-balanced,deep squad,O. Akhmedov,73.0,modest,"Uzbekistan: developing team (avg top-16 rating 68.2). The squad is balanced age (mean age 27.2) and well-balanced in skill balance, with deep squad. Talisman: O. Akhmedov (73 ovr), giving modest star power."
Panama,Developing team,68.1,26.7,youthful,65.2,56.6,attack-leaning,top-heavy,M. Murillo,75.0,modest,"Panama: developing team (avg top-16 rating 68.1). The squad is youthful (mean age 26.7) and attack-leaning in skill balance, with top-heavy. Talisman: M. Murillo (75 ovr), giving modest star power."
Curaçao,Developing team,67.5,27.7,balanced age,66.0,60.2,attack-leaning,deep squad,J. Bacuna,70.0,modest,"Curaçao: developing team (avg top-16 rating 67.5). The squad is balanced age (mean age 27.7) and attack-leaning in skill balance, with deep squad. Talisman: J. Bacuna (70 ovr), giving modest star power."
Iraq,Developing team,66.5,29.8,veteran-heavy,67.3,59.5,attack-leaning,deep squad,A. Yasin,68.0,modest,"Iraq: developing team (avg top-16 rating 66.5). The squad is veteran-heavy (mean age 29.8) and attack-leaning in skill balance, with deep squad. Talisman: A. Yasin (68 ovr), giving modest star power."
Jordan,Developing team,64.3,26.7,youthful,64.0,50.2,attack-leaning,deep squad,M. Al-Tamari,69.0,modest,"Jordan: developing team (avg top-16 rating 64.3). The squad is youthful (mean age 26.7) and attack-leaning in skill balance, with deep squad. Talisman: M. Al-Tamari (69 ovr), giving modest star power."
Haiti,Developing team,64.1,25.1,youthful,60.3,57.8,well-balanced,deep squad,C. Arcus,70.0,modest,"Haiti: developing team (avg top-16 rating 64.1). The squad is youthful (mean age 25.1) and well-balanced in skill balance, with deep squad. Talisman: C. Arcus (70 ovr), giving modest star power."
